#K o[k] d[k] q[k] b[k] f[k] p[k] tmax[k] s[k] penalty[k]
287 8 21 11 20 50 9000 28 0 30
288 4 24 11 20 50 9000 33 0 30
289 7 25 29 20 50 9000 29 0 30
290 5 24 4 20 50 11000 19 0 200
291 2 20 13 20 50 9000 23 0 200
292 9 22 48 20 50 9000 21 1 200
293 3 21 18 20 50 9000 29 0 30
294 3 23 46 20 50 9000 27 0 30
295 2 21 50 20 50 11000 16 0 200
296 1 21 13 20 50 9000 21 1 200
297 7 21 10 20 50 9000 39 0 30
298 9 24 49 20 50 9000 25 0 30
299 4 21 34 20 50 9000 22 0 200
300 8 17 46 20 50 11000 15 1 200
301 4 21 35 20 50 9000 30 1 30
302 6 25 36 20 50 9000 32 0 30
303 3 25 24 20 50 9000 28 1 30
304 3 23 50 20 50 9000 22 0 200
305 6 17 11 20 50 11000 15 0 200
306 3 22 50 20 50 9000 29 0 30
307 6 17 46 20 50 9000 23 1 200
308 1 20 10 20 50 9000 31 0 30
309 8 18 50 20 50 9000 22 0 200
310 6 21 8 20 50 11000 19 0 200
311 9 24 12 20 50 9000 26 0 30
312 4 22 50 20 50 9000 25 0 30
313 4 22 44 20 50 9000 26 0 30
314 5 25 21 20 50 9000 26 1 30
315 9 24 9 20 50 11000 15 0 200
316 8 25 5 20 50 9000 21 0 200
317 3 21 35 20 50 9000 32 1 30
318 8 20 2 20 50 9000 23 0 200
319 9 21 30 20 50 9000 26 0 30
320 9 19 26 20 50 11000 16 0 200
321 1 21 50 20 50 9000 27 0 30
322 6 20 27 20 50 9000 21 0 200
323 8 25 50 20 50 9000 21 0 200
324 7 21 9 20 50 9000 27 0 30
325 6 19 30 20 50 11000 15 1 200
326 3 24 13 20 50 9000 22 0 200
327 8 20 29 20 50 9000 34 0 30
328 4 25 19 20 50 9000 31 1 30
329 2 17 9 20 50 9000 26 0 30
330 8 21 29 20 50 11000 20 0 200
331 7 23 49 20 50 9000 24 0 200
332 9 18 32 20 50 9000 36 0 30
333 2 21 5 20 50 9000 33 0 30
334 1 17 12 20 50 9000 21 0 200
335 4 23 50 20 50 11000 16 1 200
336 1 24 49 20 50 9000 30 1 30
337 7 24 16 20 50 9000 29 0 30
338 2 19 43 20 50 9000 21 0 200
339 7 25 19 20 50 9000 23 1 200
340 7 17 50 20 50 11000 18 1 200
341 1 18 9 20 50 9000 31 0 30
342 2 18 46 20 50 9000 25 0 30
343 4 24 50 20 50 9000 23 0 200
344 8 22 45 20 50 9000 22 0 200
345 2 18 46 20 50 11000 15 0 200
346 1 19 10 20 50 9000 22 0 200
347 8 22 2 20 50 9000 34 0 30
348 2 25 4 20 50 9000 35 0 30
349 8 20 31 20 50 9000 32 0 30
350 4 17 8 20 50 11000 16 0 200
351 3 24 50 20 50 9000 27 0 30
352 8 19 50 20 50 9000 28 0 30
353 2 17 32 20 50 9000 27 0 30
354 5 18 39 20 50 9000 26 1 30
355 2 17 5 20 50 11000 18 0 200
356 4 18 43 20 50 9000 21 0 200
357 9 24 50 20 50 9000 22 1 200
358 2 24 15 20 50 9000 21 0 200
359 1 24 47 20 50 9000 25 0 30
360 7 22 34 20 50 11000 18 0 200
361 1 25 48 20 50 9000 33 0 30
362 9 25 37 20 50 9000 31 0 30
363 7 21 26 20 50 9000 22 0 200
364 6 24 50 20 50 9000 23 0 200
365 1 17 50 20 50 11000 18 0 200
366 4 19 50 20 50 9000 24 0 200
367 4 21 45 20 50 9000 24 0 200
368 7 19 13 20 50 9000 21 0 200
369 7 25 50 20 50 9000 27 0 30
370 7 19 50 20 50 11000 19 0 200
371 7 17 50 20 50 9000 24 1 200
372 8 25 8 20 50 9000 28 0 30
373 3 20 30 20 50 9000 21 0 200
374 6 24 50 20 50 9000 27 0 30
375 3 21 50 20 50 11000 20 0 200
376 5 25 46 20 50 9000 25 0 30
377 9 21 19 20 50 9000 38 0 30
378 2 18 50 20 50 9000 29 0 30
379 6 18 29 20 50 9000 34 0 30
380 3 20 40 20 50 11000 16 0 200
381 7 17 41 20 50 9000 26 1 30
382 3 25 31 20 50 9000 22 0 200
383 9 22 33 20 50 9000 26 0 30
384 1 17 33 20 50 9000 30 0 30
385 4 25 6 20 50 11000 18 0 200
386 9 19 31 20 50 9000 24 0 200
387 4 18 50 20 50 9000 30 0 30
388 1 22 31 20 50 9000 25 1 30
389 6 23 50 20 50 9000 21 0 200
390 2 18 45 20 50 11000 16 1 200
391 1 18 34 20 50 9000 30 0 30
392 8 21 9 20 50 9000 24 1 200
393 9 18 49 20 50 9000 21 1 200
394 9 19 11 20 50 9000 33 0 30
395 3 19 33 20 50 11000 15 1 200
396 4 19 45 20 50 9000 22 1 200
397 4 17 5 20 50 9000 25 0 30
398 7 24 8 20 50 9000 25 0 30
399 3 25 22 20 50 9000 28 0 30
400 1 20 21 20 50 11000 17 0 200
401 8 25 13 20 50 9000 34 0 30
402 3 24 48 20 50 9000 30 0 30
403 3 25 46 20 50 9000 23 0 200
404 3 18 15 20 50 9000 24 1 200
405 4 25 14 20 50 11000 17 0 200
406 5 23 25 20 50 9000 27 1 30
407 8 20 20 20 50 9000 22 0 200
408 7 20 24 20 50 9000 33 1 30
409 6 23 50 20 50 9000 24 1 200
410 3 25 50 20 50 11000 20 0 200
411 5 18 50 20 50 9000 30 0 30
412 1 23 26 20 50 9000 27 0 30
413 9 21 45 20 50 9000 35 1 30
414 4 21 33 20 50 9000 36 0 30
415 5 22 34 20 50 11000 18 1 200
416 6 23 37 20 50 9000 24 0 200
417 5 22 29 20 50 9000 24 0 200
418 8 21 35 20 50 9000 22 0 200
419 9 21 37 20 50 9000 21 1 200
420 3 18 18 20 50 11000 17 0 200
421 1 23 6 20 50 9000 23 1 200
422 5 24 23 20 50 9000 30 0 30
423 1 21 39 20 50 9000 29 0 30
424 5 17 16 20 50 9000 29 0 30
425 6 20 32 20 50 11000 17 0 200
426 7 25 38 20 50 9000 22 0 200
427 1 18 32 20 50 9000 23 0 200
428 4 19 21 20 50 9000 24 0 200
429 6 25 50 20 50 9000 21 0 200
430 9 25 50 20 50 11000 17 1 200
431 9 18 24 20 50 9000 37 0 30
432 3 18 45 20 50 9000 24 1 200
433 4 21 10 20 50 9000 29 1 30
434 7 24 35 20 50 9000 21 1 200
435 2 25 27 20 50 11000 16 0 200
436 4 23 46 20 50 9000 25 1 30
437 2 19 36 20 50 9000 23 0 200
438 4 17 48 20 50 9000 27 1 30
439 1 25 47 20 50 9000 23 1 200
440 7 24 50 20 50 11000 15 0 200
441 8 17 50 20 50 9000 21 0 200
442 9 22 50 20 50 9000 21 0 200
443 2 22 44 20 50 9000 31 0 30
444 7 23 21 20 50 9000 21 1 200
445 8 18 15 20 50 11000 17 0 200
446 7 22 50 20 50 9000 25 0 30
447 5 24 30 20 50 9000 21 0 200
448 8 22 5 20 50 9000 39 0 30
449 8 19 9 20 50 9000 22 0 200
450 8 24 46 20 50 11000 19 1 200
451 7 23 37 20 50 9000 26 0 30
452 3 17 20 20 50 9000 22 0 200
453 9 20 13 20 50 9000 23 0 200
454 3 24 22 20 50 9000 23 0 200
455 3 20 50 20 50 11000 20 0 200
456 6 24 27 20 50 9000 25 0 30
457 4 21 50 20 50 9000 21 1 200
458 7 24 10 20 50 9000 31 0 30
459 1 19 15 20 50 9000 22 0 200
460 4 24 35 20 50 11000 17 1 200
461 2 21 50 20 50 9000 36 0 30
462 7 24 50 20 50 9000 25 1 30
463 5 17 50 20 50 9000 24 0 200
464 4 19 41 20 50 9000 21 0 200
465 8 20 47 20 50 11000 17 0 200
466 9 24 11 20 50 9000 21 0 200
467 2 20 41 20 50 9000 24 0 200
468 7 24 24 20 50 9000 24 0 200
469 8 20 13 20 50 9000 23 0 200
470 1 24 25 20 50 11000 20 1 200
471 6 25 13 20 50 9000 21 0 200
472 6 25 15 20 50 9000 28 0 30
473 4 19 50 20 50 9000 21 0 200
474 1 24 18 20 50 9000 21 0 200
475 1 18 5 20 50 11000 18 0 200
476 4 22 12 20 50 9000 21 1 200
477 5 17 27 20 50 9000 21 0 200
478 9 18 50 20 50 9000 26 1 30
479 5 20 41 20 50 9000 22 1 200
480 7 23 12 20 50 11000 18 0 200
481 5 20 26 20 50 9000 23 0 200
482 2 20 17 20 50 9000 26 0 30
483 2 23 37 20 50 9000 21 0 200
484 4 18 11 20 50 9000 22 0 200
485 5 22 20 20 50 11000 15 0 200
486 7 23 18 20 50 9000 24 0 200
487 8 19 48 20 50 9000 27 0 30
488 1 17 18 20 50 9000 33 1 30
489 2 24 50 20 50 9000 28 0 30
490 3 19 48 20 50 11000 20 0 200
491 6 22 29 20 50 9000 28 0 30
492 4 17 35 20 50 9000 23 0 200
493 5 17 40 20 50 9000 31 0 30
494 8 22 28 20 50 9000 22 0 200
495 3 17 19 20 50 11000 17 1 200
496 4 23 50 20 50 9000 21 1 200
497 5 23 45 20 50 9000 21 0 200
498 1 17 13 20 50 9000 28 0 30
499 8 17 50 20 50 9000 26 1 30
500 2 20 29 20 50 11000 16 1 200
501 8 18 15 20 50 9000 24 0 200
502 7 25 46 20 50 9000 30 1 30
503 1 24 22 20 50 9000 22 0 200
504 6 19 17 20 50 9000 23 0 200
505 9 20 50 20 50 11000 19 0 200
506 6 25 37 20 50 9000 21 0 200
507 4 23 39 20 50 9000 26 0 30
508 4 25 25 20 50 9000 24 0 200
509 2 24 24 20 50 9000 27 0 30
510 3 25 44 20 50 11000 20 0 200
511 9 25 50 20 50 9000 23 0 200
512 1 18 3 20 50 9000 22 0 200
513 4 17 50 20 50 9000 30 0 30
514 6 18 50 20 50 9000 32 0 30
515 9 19 43 20 50 11000 17 1 200
516 8 19 43 20 50 9000 26 0 30
517 2 18 19 20 50 9000 37 0 30
518 7 19 47 20 50 9000 23 0 200
519 9 23 50 20 50 9000 25 1 30
520 8 17 50 20 50 11000 15 0 200
521 1 25 47 20 50 9000 35 1 30
522 8 25 35 20 50 9000 23 1 200
523 3 20 12 20 50 9000 28 1 30
524 8 21 31 20 50 9000 22 0 200
525 8 21 44 20 50 11000 16 0 200
526 7 25 8 20 50 9000 24 1 200
527 8 21 50 20 50 9000 25 0 30
528 9 17 25 20 50 9000 26 0 30
529 1 20 50 20 50 9000 25 0 30
530 3 17 35 20 50 11000 17 0 200
531 7 21 50 20 50 9000 21 0 200
532 3 18 50 20 50 9000 25 0 30
533 7 24 24 20 50 9000 21 1 200
534 8 23 41 20 50 9000 25 0 30
535 2 17 46 20 50 11000 15 0 200
536 1 17 5 20 50 9000 24 1 200
537 2 20 8 20 50 9000 23 0 200
538 1 24 21 20 50 9000 28 0 30
539 7 22 39 20 50 9000 34 1 30
540 5 23 39 20 50 11000 17 1 200
541 6 17 50 20 50 9000 25 0 30
542 5 25 20 20 50 9000 27 0 30
543 9 21 25 20 50 9000 28 0 30
544 9 23 45 20 50 9000 21 0 200
545 9 19 34 20 50 11000 18 0 200
546 9 17 39 20 50 9000 33 0 30
547 3 21 50 20 50 9000 21 0 200
548 3 25 6 20 50 9000 30 0 30
549 1 20 50 20 50 9000 23 0 200
550 2 25 50 20 50 11000 17 0 200
551 6 17 35 20 50 9000 21 1 200
552 7 20 15 20 50 9000 27 0 30
553 9 24 50 20 50 9000 22 0 200
554 6 22 27 20 50 9000 22 0 200
555 7 23 24 20 50 11000 15 0 200
556 2 22 35 20 50 9000 23 0 200
557 7 18 50 20 50 9000 22 0 200
558 2 17 27 20 50 9000 30 1 30
559 4 21 50 20 50 9000 21 1 200
560 3 25 6 20 50 11000 17 0 200
561 9 18 37 20 50 9000 21 0 200
562 2 18 14 20 50 9000 22 1 200
563 1 17 50 20 50 9000 24 1 200
564 8 25 48 20 50 9000 21 0 200
565 4 20 10 20 50 11000 20 0 200
566 9 20 28 20 50 9000 35 0 30
567 6 23 44 20 50 9000 22 0 200
568 2 24 50 20 50 9000 32 0 30
569 7 17 31 20 50 9000 26 0 30
570 8 24 48 20 50 11000 17 1 200
571 4 19 3 20 50 9000 28 0 30
572 3 17 50 20 50 9000 31 0 30
573 2 20 50 20 50 9000 22 1 200
574 9 21 10 20 50 9000 23 0 200
575 9 18 50 20 50 11000 15 0 200
576 6 18 33 20 50 9000 26 0 30
577 8 22 41 20 50 9000 26 0 30
578 2 21 50 20 50 9000 26 0 30
579 2 19 20 20 50 9000 33 0 30
580 5 22 28 20 50 11000 20 0 200
581 6 24 50 20 50 9000 23 0 200
582 1 23 50 20 50 9000 24 0 200
583 7 21 46 20 50 9000 27 0 30
584 1 24 20 20 50 9000 21 0 200
585 9 18 16 20 50 11000 18 0 200
586 6 18 39 20 50 9000 21 0 200
587 4 17 21 20 50 9000 29 0 30
588 9 17 50 20 50 9000 22 0 200
589 3 18 50 20 50 9000 21 0 200
590 9 18 50 20 50 11000 16 0 200
591 6 23 11 20 50 9000 31 0 30
592 7 22 39 20 50 9000 30 0 30
593 3 24 50 20 50 9000 34 0 30
594 6 23 50 20 50 9000 36 0 30
595 6 25 12 20 50 11000 19 0 200
596 4 21 13 20 50 9000 26 0 30
597 7 22 30 20 50 9000 22 0 200
598 3 25 50 20 50 9000 37 1 30
599 1 20 34 20 50 9000 31 0 30
600 3 18 16 20 50 11000 15 0 200
601 8 21 50 20 50 9000 21 0 200
602 4 23 26 20 50 9000 23 0 200
603 4 22 11 20 50 9000 21 0 200
604 5 18 44 20 50 9000 21 0 200
605 3 21 19 20 50 11000 18 0 200
606 2 25 15 20 50 9000 21 0 200
607 7 21 12 20 50 9000 32 0 30
608 3 24 50 20 50 9000 23 0 200
609 7 17 31 20 50 9000 23 0 200
610 4 23 20 20 50 11000 20 0 200
611 4 23 50 20 50 9000 21 1 200
612 4 20 41 20 50 9000 23 0 200
613 5 22 50 20 50 9000 24 0 200
614 6 22 6 20 50 9000 21 0 200
615 8 20 24 20 50 11000 17 1 200
616 7 23 50 20 50 9000 38 0 30
617 3 25 26 20 50 9000 29 0 30
618 1 19 50 20 50 9000 32 0 30
619 9 18 21 20 50 9000 26 0 30
620 7 18 19 20 50 11000 15 0 200
621 1 21 44 20 50 9000 23 1 200
622 2 23 28 20 50 9000 26 0 30
623 6 18 30 20 50 9000 21 0 200
624 1 20 50 20 50 9000 22 0 200
625 3 24 50 20 50 11000 19 1 200
626 1 23 50 20 50 9000 27 0 30
627 7 19 40 20 50 9000 32 0 30
628 4 21 50 20 50 9000 21 0 200
629 9 24 50 20 50 9000 25 1 30
630 8 22 50 20 50 11000 15 0 200
631 7 23 16 20 50 9000 32 0 30
632 8 21 42 20 50 9000 25 0 30
633 6 17 34 20 50 9000 21 0 200
634 7 19 50 20 50 9000 24 1 200
635 7 17 50 20 50 11000 18 0 200
636 6 23 17 20 50 9000 30 1 30
637 7 23 9 20 50 9000 21 0 200
638 7 18 42 20 50 9000 23 0 200
639 4 25 50 20 50 9000 28 0 30
640 9 19 50 20 50 11000 15 0 200
641 5 18 17 20 50 9000 36 0 30
642 4 22 50 20 50 9000 25 0 30
643 7 19 32 20 50 9000 21 1 200
644 9 17 29 20 50 9000 33 1 30
645 2 17 42 20 50 11000 15 0 200
646 7 19 42 20 50 9000 25 0 30
647 2 17 38 20 50 9000 37 0 30
648 1 21 15 20 50 9000 21 0 200
649 1 18 50 20 50 9000 25 0 30
650 9 24 11 20 50 11000 16 0 200
651 6 24 44 20 50 9000 31 0 30
652 5 21 50 20 50 9000 23 0 200
653 1 18 36 20 50 9000 23 0 200
654 8 23 6 20 50 9000 35 0 30
655 1 25 2 20 50 11000 16 0 200
656 8 17 26 20 50 9000 23 0 200
657 1 24 42 20 50 9000 27 0 30
658 7 25 50 20 50 9000 30 1 30
659 1 23 17 20 50 9000 23 0 200
660 5 21 10 20 50 11000 17 0 200
661 7 20 22 20 50 9000 28 0 30
662 5 25 41 20 50 9000 29 1 30
